CEO Name,Company,GVKEY,EXECID,YEAR,input_company_name
Mark F. Furlong,MARSHALL & ILSLEY CORP,7067,23111,2007,marshall & ilsley
Timothy Wadhams,MASCO CORP,7085,17656,2007,masco corp
Robert A. Eckert,MATTEL INC,7116,18517,2007,mattel inc
Robert John Lawless,MCCORMICK & CO INC,7146,6020,2007,mccormick & co inc
James A. Skinner,MCDONALD'S CORP,7154,14881,2007,mcdonald's corp
"Harold Whittlesey McGraw, III",S&P GLOBAL INC,7163,1280,2007,s&p global
John H. Hammergren,MCKESSON CORP,7171,13522,2007,mckesson corp
"David B. Snow, Jr.",MEDCO HEALTH SOLUTIONS INC,7186,12761,2007,medco health solutions
"William A. Hawkins, III",MEDTRONIC PLC,7228,25312,2007,medtronic plc
Thomas M. Ryan,CVS HEALTH CORP,7241,13499,2007,cvs health
Richard T. Clark,MERCK & CO,7257,28108,2007,merck & co
Stephen M. Lacy,MEREDITH CORP,7260,17849,2007,meredith corp
Ernest Stanley O'Neal,MERRILL LYNCH & CO INC,7267,14272,2007,merrill lynch 
Steven R. Appleton,MICRON TECHNOLOGY INC,7343,5088,2007,micron technology
J. Wayne Leonard,ENTERGY CORP,7366,3091,2007,entergy corp
"Martin D. Madaus, Ph.D.",MILLIPORE CORP,7409,29299,2007,millipore corp
George W. Buckley,3M CO,7435,16459,2007,3m co
Martin P. Slark,MOLEX INC,7506,15971,2007,molex inc
Edward J. Zander,MOTOROLA SOLUTIONS INC,7585,3309,2007,motorola solutions
Claiborne P. Deming,MURPHY OIL CORP,7620,5134,2007,murphy oil
Robert J. Coury,MYLAN NV,7637,24999,2007,mylan nv
Kenneth D. Lewis,BANK OF AMERICA CORP,7647,3028,2007,bank of america
William R. Nuti,NCR CORP,7648,26171,2007,ncr corp
"Peter E. Raskind, Jr.",NATIONAL CITY CORP,7711,24503,2007,national city corp
Trevor Fetter,TENET HEALTHCARE CORP,7750,11923,2007,tenet healthcare
Brian L. Halla,NATIONAL SEMICONDUCTOR CORP,7772,4995,2007,national semiconductor
Janet L. Robinson,NEW YORK TIMES CO  -CL A,7866,16305,2007,new york times  
Mark D. Ketchum,NEWELL BRANDS INC,7875,25702,2007,newell brands
"Richard T. OBrien, B.A., J.D.",NEWMONT CORP,7881,14677,2007,newmont corp
Russ Martin Strobel,NICOR INC,7904,23247,2007,nicor inc
Mark G. Parker,NIKE INC  -CL B,7906,3048,2007,nike inc
Charles D. Davidson,NOBLE ENERGY INC,7912,14597,2007,noble energy
Blake W. Nordstrom,NORDSTROM INC,7922,16693,2007,nordstrom
"Charles W. Moorman, IV",NORFOLK SOUTHERN CORP,7923,21199,2007,norfolk southern
Charles W. Shivery,EVERSOURCE ENERGY,7970,5700,2007,eversource energy
"Robert C. Skaggs, Jr.",NISOURCE INC,7974,13173,2007,nisource inc
Richard C. Kelly,XCEL ENERGY INC,7977,4729,2007,xcel energy
"William A. Osborn, M.B.A.",NORTHERN TRUST CORP,7982,4228,2007,northern trust
Ronald D. Sugar,NORTHROP GRUMMAN CORP,7985,16364,2007,northrop grumman
Ronald M. DeFeo,TEREX CORP,7991,31033,2007,terex corp
Richard M. Kovacevich,WELLS FARGO & CO,8007,1328,2007,wells fargo 
Daniel R. DiMicco,NUCOR CORP,8030,5896,2007,nucor corp
Ray R. Irani,OCCIDENTAL PETROLEUM CORP,8068,702,2007,occidental petroleum
Anthony J. Alexander,FIRSTENERGY CORP,8099,3342,2007,firstenergy corp
John W. Gibson,ONEOK INC,8151,23533,2007,oneok inc
Albert P. L. Stroucken,O-I GLASS INC,8215,16286,2007,o-i glass
James E. Rohr,PNC FINANCIAL SVCS GROUP INC,8245,1311,2007,pnc financial svcs group
Charles E. Bunch,PPG INDUSTRIES INC,8247,16311,2007,ppg industries
Mark C. Pigott,PACCAR INC,8253,3437,2007,paccar inc
Peter A. Darbee,PG&E CORP,8264,20327,2007,pg&e
Donald E. Felsinger,SEMPRA ENERGY,8272,1998,2007,sempra energy
Eric Krasnoff,PALL CORP,8304,3500,2007,pall corp
Donald E. Washkewicz,PARKER-HANNIFIN CORP,8358,23195,2007,parker-hannifin
Jonathan J. Judge,PAYCHEX INC,8402,28725,2007,paychex inc
"Myron E. Ullman, III",PENNEY (J C) CO,8446,28166,2007,penney (j c)
James H. Miller,PPL CORP,8455,24442,2007,ppl co
"Randall J. Hogan, III",PENTAIR PLC,8463,18547,2007,pentair plc
"Indra K. Nooyi, M.P.P.M.",PEPSICO INC,8479,18812,2007,pepsico inc
Tony L. White,APPLIED BIOSYSTEMS INC,8488,1555,2007,applied biosystems
"Jeffrey B. Kindler, J.D.",PFIZER INC,8530,14882,2007,pfizer inc
John W. Rowe,EXELON CORP,8539,675,2007,exelon corp
"Louis C. Camilleri, BA",ALTRIA GROUP INC,8543,14417,2007,altria group
James J. Mulva,CONOCOPHILLIPS,8549,5960,2007,conocophillips
Emanuel Chirico,PVH CORP,8551,19333,2007,pvh corp
Murray D. Martin,PITNEY BOWES INC,8606,16723,2007,pitney bowes
Dennis R. Wraase,PEPCO HOLDINGS INC,8694,4704,2007,pepco holdings
Mark Donegan,PRECISION CASTPARTS CORP,8717,4714,2007,precision castparts
Alan George Lafley,PROCTER & GAMBLE CO,8762,15843,2007,procter & gamble
"Ralph Izzo, Ph.D.",PUBLIC SERVICE ENTRP GRP INC,8810,28439,2007,public service entrp grp
"Richard J. Dugas, Jr.",PULTEGROUP INC,8823,24550,2007,pultegroup inc
Keith O. Rattie,QUESTAR CORP,8873,23492,2007,questar corp
"Thomas Alan James, Esq., J.D.",RAYMOND JAMES FINANCIAL CORP,8898,8606,2007,raymond james financial
William H. Swanson,RAYTHEON CO,8972,3114,2007,raytheon co
Michael J. Jackson,AUTONATION INC,9063,20766,2007,autonation inc
Keith D. Nosbusch,ROCKWELL AUTOMATION,9203,17969,2007,rockwell automation
Rajiv Lochan Gupta,ROHM AND HAAS CO,9217,14628,2007,rohm and haas
Gary W. Rollins,ROLLINS INC,9225,4889,2007,rollins inc
Michael Balmuth,ROSS STORES INC,9248,7208,2007,ross stores
Daniel F. McNease,ROWAN COMPANIES PLC,9258,3175,2007,rowanmpanies plc
Gregory T. Swienton,RYDER SYSTEM INC,9299,12393,2007,ryder system
Paula G. Rosput Reynolds,SAFECO CORP,9351,27829,2007,safeco corp
Steven A. Burd,SAFEWAY INC,9359,826,2007,safeway inc
Daniel J. Starks,ST JUDE MEDICAL INC,9372,14772,2007,st jude medical
Brenda C. Barnes,HILLSHIRE BRANDS CO,9411,28782,2007,hillshire brands
William B. Timmerman,SCANA CORP,9445,4138,2007,scana corp
Fred Hassan,SCHERING-PLOUGH,9459,2172,2007,schering-plough
"Andrew F. J. Gould, B.A., F.C.A., BA, FCA",SCHLUMBERGER LTD,9465,16308,2007,schlumberger
William V. Hickey,SEALED AIR CORP,9555,4217,2007,sealed air
Christopher M. Connor,SHERWIN-WILLIAMS CO,9667,14331,2007,sherwin-williams
"Jai P. Nagarkatti, Ph.D.",SIGMA-ALDRICH CORP,9699,23291,2007,sigma-aldrich
Paul W. Jones,SMITH (A.O.),9771,11669,2007,smith (a.o.)
Douglas L. Rock,SMITH INTERNATIONAL INC,9772,4311,2007,smith international
Timothy P. Smucker,SMUCKER (JM) CO,9777,4330,2007,smucker (jm)
Jack D. Michaels,SNAP-ON INC,9778,472,2007,snap-on
"Henry L. Meyer, III",KEYCORP,9783,3725,2007,keycorp
John E. Bryson,EDISON INTERNATIONAL,9846,833,2007,edison international
David M. Ratcliffe,SOUTHERN CO,9850,19239,2007,southern co
Gary C. Kelly,SOUTHWEST AIRLINES,9882,19108,2007,southwest airlines
Randall L. Stephenson,AT&T INC,9899,27541,2007,at&t inc
Harold M. Korell,SOUTHWESTERN ENERGY CO,9904,14888,2007,southwestern energy
John F. Lundgren,STANLEY BLACK & DECKER INC,10016,12485,2007,stanley black & decker
Ronald E. Logue,STATE STREET CORP,10035,14316,2007,state street
"Ronald L. Havner, Jr.",PUBLIC STORAGE,10096,26652,2007,public storage
Stephen P. MacMillan,STRYKER CORP,10115,25904,2007,stryker corp
"Charles Elliott Andrews, C.E.",NAVIENT CORP,10121,29627,2007,navient corp
John G. Drosdick,SUNOCO INC,10156,12913,2007,sunoco inc
"James M. Wells, III",SUNTRUST BANKS INC,10187,5291,2007,suntrust banks
Jeffrey Noddle,SUPERVALU INC,10190,3330,2007,supervalu corp
Richard J. Schnieders,SYSCO CORP,10247,13949,2007,sysco corp
Sherrill Wayne Hudson,TECO ENERGY INC,10277,27640,2007,teco energy
Julian C. Day,RS LEGACY CORP,10332,1772,2007,rs legacy
L. Patrick Hassey,ALLEGHENY TECHNOLOGIES INC,10405,16265,2007,allegheny technologies
